subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;prediksi_random_forest;prediksi_xgboost
Hortikultura;Bawang Merah;Aceh;2012;54,26;808;1;4085,786167;3488,881104
Hortikultura;Bawang Merah;Aceh;2013;67,8;547;1;4220,28367;2833,503662
Hortikultura;Bawang Merah;Aceh;2014;78,81;851;1;6249,616253;4736,239258
Hortikultura;Bawang Merah;Aceh;2015;73,95;776;1;6171,65143;23655,51953
Hortikultura;Bawang Merah;Aceh;2016;0;741;1;5993,606545;5432,473145
Hortikultura;Bawang Merah;Aceh;2017;75,34;1174;1;8838,989912;4947,780273
Hortikultura;Bawang Merah;Aceh;2018;74,34;917;4;7982,064243;6229,347656
Hortikultura;Bawang Merah;Aceh;2019;78,02;1133;4;8218,033451;6095,825684
Hortikultura;Bawang Merah;Aceh;2020;76,47;1470,65;4;10441,06558;10899,3291
Hortikultura;Bawang Merah;Aceh;2021;85,14;1190,46;4;10445,42053;7753,904785
Hortikultura;Bawang Merah;Aceh;2022;81,48;1236;4;10524,79376;7753,904785
Hortikultura;Bawang Merah;Aceh;2023;92,74;1474,24;4;10841,63377;11156,25293
Hortikultura;Bawang Merah;Aceh;2024;92,97;1418,19;4;15374,0461;14290,06543
Hortikultura;Bawang Merah;Aceh;2025;89,06333333;1376,143333;4;13985,25739;14290,06543
Hortikultura;Buncis;Aceh;2012;0;320;1;3280,366723;3540,012451
Hortikultura;Buncis;Aceh;2013;152,1;257;1;5410,353953;2287,223633
Hortikultura;Buncis;Aceh;2014;149,36;244;3;5869,797188;3891,937256
Hortikultura;Buncis;Aceh;2015;126,81;160;3;16165,41388;30362,23047
Hortikultura;Buncis;Aceh;2016;144,16;142;3;3358,267862;11441,30176
Hortikultura;Buncis;Aceh;2017;158,98;128;3;1961,85331;6468,319336
Hortikultura;Buncis;Aceh;2018;185,95;88;3;1731,987953;8706,848633
Hortikultura;Buncis;Aceh;2019;159,32;78;3;1671,70529;672,1472168
Hortikultura;Buncis;Aceh;2020;138,24;78;3;1594,9265;-999,4160156
Hortikultura;Buncis;Aceh;2021;72,73;80,4;3;1160,030697;-145,5049744
Hortikultura;Buncis;Aceh;2022;63,16;78,5;3;1684,377339;733,4768066
Hortikultura;Buncis;Aceh;2023;49,51;126,25;3;1000,895513;778,3179932
