subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas
Pangan;Jagung;Aceh;2026;54,54570548;10091,45667;1;0,347970864;47163,47718;51274,29688;51274,29688;65925;14515,55556;7134,555556;66963,14063;7134,555556;1,574729807;0,152312385;31;1
Pangan;Jagung;Bali;2026;50,82406912;8142,26;1;0,347970864;39280,6346;37913,75391;37913,75391;417;396,8888889;1873,555556;2318,054932;1873,555556;455,8884728;0,044217668;101;8
Pangan;Jagung;Banten;2026;63,41042601;2225,423333;1;0,347970864;19524,62146;14631,56836;14631,56836;919,3333333;1422,666667;903,3333333;830,019165;903,3333333;-9,7151017;0,021731436;219;15
Pangan;Jagung;Bengkulu;2026;63,81349808;9402,616667;1;0,347970864;63568,38607;64667,84375;64667,84375;1364,666667;3202,666667;573,1111111;1268,629028;573,1111111;-7,037442966;0,013894142;339;22
Pangan;Jagung;Daerah Istimewa Yogyakarta;2026;51,81251167;39710,12667;1;0,347970864;208488,8494;212136,7344;212136,7344;0,333333333;23,44444444;30,88888889;-471,4061279;30,88888889;-141521,8384;0,000771283;1051;29
Pangan;Jagung;Daerah Khusus Ibukota Jakarta;2026;0;0;2;0,347970864;0;27,72760391;27,72760391;23516,33333;77337,88889;441,1111111;26743,58008;441,1111111;13,7234266;0,018950028;250;2
Pangan;Jagung;Gorontalo;2026;48,3436174;124368,32;1;0,347970864;631955,1545;640621,5625;640621,5625;8357,666667;33926,11111;453,1111111;8274,142578;453,1111111;-0,999370899;0,012970729;353;9
Pangan;Jagung;Jambi;2026;63,11040367;2267,82;1;0,347970864;23955,43729;18091,71289;18091,71289;4540,666667;26368,44444;364,8888889;4939,720215;364,8888889;8,788435212;0,010352015;413;16
Pangan;Jagung;Jawa Barat;2026;73,5155678;87853,79667;1;0,347970864;638991,596;715925,1875;715925,1875;83;379,1111111;365,1111111;-787,4728394;365,1111111;-1048,762457;0,008873881;442;23
Pangan;Jagung;Jawa Tengah;2026;59,33053744;412582,59;3;0,347970864;2699953,547;2410449,25;2410449,25;208;2843,777778;185,3333333;1144,724854;185,3333333;450,3484873;0,004562676;614;30
Pangan;Jagung;Jawa Timur;2026;61,9455265;752228,9633;4;0,347970864;4596804,741;4734791;4734791;14698;29268,11111;742,7777778;12715,50586;742,7777778;-13,48818983;0,018935859;251;3
Pangan;Jagung;Kalimantan Barat;2026;47,78108809;22956,38;1;0,347970864;169986,7024;130867,7656;130867,7656;3,333333333;104,4444444;452,4444444;-835,9613647;452,4444444;-25178,84094;0,010976644;401;10
Pangan;Jagung;Kalimantan Selatan;2026;60,21507309;21030,94;1;0,347970864;170437,7695;140152,2031;140152,2031;316,3333333;341,6666667;232,5555556;-787,4728394;232,5555556;-348,9376731;0,005667894;561;17
Pangan;Jagung;Kalimantan Tengah;2026;46,39470769;8148,196667;1;0,347970864;49591,86509;46668,51563;46668,51563;0;0;0;-448,2593994;0;0;0,000156684;1302;22
Pangan;Jagung;Kalimantan Timur;2026;50,6582943;1631,543333;1;0,347970864;12677,50761;8644,708984;8644,708984;0;0;0;-448,2593994;0;0;0,000156684;1302;22
Pangan;Jagung;Kalimantan Utara;2026;49,57031942;477,4833333;1;0,347970864;4935,733834;2071,069824;2071,069824;68023,33333;141359,8889;796,4444444;66049,44531;796,4444444;-2,901780792;0,034542908;133;4
Pangan;Jagung;Kepulauan Bangka Belitung;2026;25,84731183;377,0833333;1;0,347970864;3199,698927;747,8077393;747,8077393;35361,33333;63054,66667;789,5555556;52692,45313;789,5555556;49,01149973;0,023142326;205;11
Pangan;Jagung;Kepulauan Riau;2026;49,43639291;3,356666667;1;0,347970864;20,98396558;-143,5839539;-143,5839539;7469;22189,88889;675,4444444;8762,427734;675,4444444;17,31728122;0,01696226;276;18
Pangan;Jagung;Lampung;2026;65,43760462;176906,7733;3;0,347970864;1220199,615;1243259;1243259;1413;4438;528,1111111;2347,782471;528,1111111;66,15587195;0,012835005;357;25
Pangan;Jagung;Maluku;2026;30,91593678;2408,04;1;0,347970864;6490,572369;7802,28125;7802,28125;746,3333333;4197,555556;359,5555556;1373,667847;359,5555556;84,05553997;0,008786753;445;32
Pangan;Jagung;Maluku Utara;2026;37,52880511;1363,843333;1;0,347970864;4648,720853;3871,447021;3871,447021;1072,333333;6408,555556;330;1452,395386;330;35,44252898;0,008136813;463;5
Pangan;Jagung;Nusa Tenggara Barat;2026;69,68935259;175292,6667;3;0,347970864;1252946,062;1224617,125;1224617,125;21;103,1111111;265,4444444;-2983,097168;265,4444444;-14305,22461;0,006462479;532;12
Pangan;Jagung;Nusa Tenggara Timur;2026;26,46213854;108281,3633;1;0,347970864;354002,1781;319964,0313;319964,0313;122,6666667;776,6666667;186,8888889;-569,5523682;186,8888889;-564,3089958;0,004562564;615;19
Pangan;Jagung;Papua;2026;27,49839245;757,3333333;2;0,347970864;2646,380079;964,8259277;964,8259277;0;0;0;-448,2593994;0;0;0,000156684;1302;25
Pangan;Jagung;Papua Barat;2026;46,71794689;590,3333333;1;0,347970864;2156,748781;932,5543213;932,5543213;0;0,666666667;0;-452,0211792;0;0;0,000156507;1306;27
Pangan;Jagung;Riau;2026;36,62278308;513,7833333;1;0,347970864;3989,230998;791,7526855;791,7526855;197542,6667;227234,2222;1415,222222;206203,5156;1415,222222;4,384292824;0,058411749;77;6
Pangan;Jagung;Sulawesi Barat;2026;50,83885543;5454,363333;1;0,347970864;35171,90014;28523,74805;28523,74805;111653;116531,2222;995,3333333;109637,6953;995,3333333;-1,804971373;0,034413653;134;13
Pangan;Jagung;Sulawesi Selatan;2026;59,54202752;192845,2833;3;0,347970864;1233478,212;1196816;1196816;3666,333333;8303,222222;843,4444444;3061,114258;843,4444444;-16,50747547;0,020401274;236;20
Pangan;Jagung;Sulawesi Tengah;2026;43,56907235;18402,89333;1;0,347970864;83038,35001;76930,38281;76930,38281;0;0;0;-448,2593994;0;0;0,000156684;1302;26
Pangan;Jagung;Sulawesi Tenggara;2026;37,85828298;17911,53;1;0,347970864;55169,46448;62369,76953;62369,76953;0;0;0;-448,2593994;0;0;0,000156684;1302;26
Pangan;Jagung;Sulawesi Utara;2026;37,15923741;27241,06667;1;0,347970864;127484,833;102716,5625;102716,5625;37;107,2222222;728,5555556;1961,731567;728,5555556;5201,977209;0,01758291;267;7
Pangan;Jagung;Sumatera Barat;2026;62,70816148;83109,25667;1;0,347970864;532195,5375;557523,125;557523,125;5,666666667;72,77777778;123,5555556;-680,142334;123,5555556;-12102,51178;0,003019904;737;14
Pangan;Jagung;Sumatera Selatan;2026;63,89452378;53285,64;1;0,347970864;365602,602;393821,7813;393821,7813;0;0;0;-448,2593994;0;0;0,000156684;1302;17
Pangan;Jagung;Sumatera Utara;2026;63,90102037;208433,7867;3;0,347970864;1295390,757;1334833,25;1334833,25;0;0;0;-448,2593994;0;0;0,000156684;1302;17
Pangan;Kacang Hijau;Aceh;2026;9,53037037;310;1;0,506440493;289,7416323;-226,9160156;-226,9160156;912;435,7777778;3167,777778;314,7626648;3167,777778;-65,48654991;0,072877964;67;2
Pangan;Kacang Hijau;Bali;2026;9,763076923;53;1;0,506440493;46,97443994;-310,4491577;-310,4491577;5322;4780,777778;1805,777778;5368,704102;1805,777778;0,877566734;0,042719062;104;9
Pangan;Kacang Hijau;Banten;2026;9,158072289;328;1;0,506440493;807,5042408;-13,5217495;-13,5217495;744,6666667;1390,555556;881,6666667;201,5807953;881,6666667;-72,9300633;0,021218411;228;16
Pangan;Kacang Hijau;Bengkulu;2026;9,969659367;177,6666667;1;0,506440493;174,1532415;-226,9160156;-226,9160156;1256,333333;5109,888889;525,2222222;745,418457;525,2222222;-40,66714325;0,012774929;359;23
Pangan;Kacang Hijau;Daerah Istimewa Yogyakarta;2026;8,512015504;461,3333333;1;0,506440493;533,3720709;-249,519043;-249,519043;0;0;0;-514,9988403;0;0;0,000153554;1312;30
Pangan;Kacang Hijau;Daerah Khusus Ibukota Jakarta;2026;0;0;2;0,506440493;0;-358,8416748;-358,8416748;22023;69158,33333;511,8888889;24357,21484;511,8888889;10,59898671;0,018709273;255;3
Pangan;Kacang Hijau;Gorontalo;2026;11,49952381;10,66666667;1;0,506440493;14,04869333;-391,816803;-391,816803;324,6666667;866;509,2222222;-491,3642273;509,2222222;-251,3442179;0,012343203;367;10
Pangan;Kacang Hijau;Jambi;2026;9,508830409;61;1;0,506440493;63,40558022;-22,49968719;-22,49968719;5,333333333;155,4444444;388,1111111;-787,4728394;388,1111111;-14865,11574;0,009427973;429;17
Pangan;Kacang Hijau;Jawa Barat;2026;9,631839877;3061,333333;1;0,506440493;2172,618763;4855,71875;4855,71875;2;9,333333333;317,5555556;-875,0471802;317,5555556;-43852,35901;0,007724683;480;24
Pangan;Kacang Hijau;Jawa Tengah;2026;8,51534515;62362;3;0,506440493;47083,57945;49148,80469;49148,80469;36;315,7777778;182,6666667;-813,7766113;182,6666667;-2360,490587;0,004457133;621;31
Pangan;Kacang Hijau;Jawa Timur;2026;11,7632185;34576;3;0,506440493;38280,76327;45251,49219;45251,49219;12328;24104,22222;737,6666667;11597,24219;737,6666667;-5,927626643;0,018511576;257;4
Pangan;Kacang Hijau;Kalimantan Barat;2026;9,995806452;85,66666667;1;0,506440493;79,6612769;-35,28534698;-35,28534698;8,333333333;22;363,6666667;-875,0471802;363,6666667;-10600,56616;0,008838187;443;11
Pangan;Kacang Hijau;Kalimantan Selatan;2026;10,21666667;56;1;0,506440493;50,89595099;-22,49968719;-22,49968719;197,6666667;2520,222222;149,4444444;743,6585083;149,4444444;276,2184696;0,003688884;672;18
Pangan;Kacang Hijau;Kalimantan Tengah;2026;11,1;8,666666667;1;0,506440493;10,70638556;240,2785797;240,2785797;0;0;0;-448,2593994;0;0;0,000156684;1302;22
Pangan;Kacang Hijau;Kalimantan Timur;2026;10,14358974;33;1;0,506440493;33,41309117;-35,28534698;-35,28534698;0;0,166666667;0;-452,0211792;0;0;0,000156507;1309;23
Pangan;Kacang Hijau;Kalimantan Utara;2026;12,30333333;4,333333333;1;0,506440493;6,997005556;32,10050201;32,10050201;37290;53386,33333;1191,666667;39077,40234;1191,666667;4,793248441;0,03070558;149;5
Pangan;Kacang Hijau;Kepulauan Bangka Belitung;2026;5,556666667;0;1;0,506440493;0,232511111;-1188,645508;-1188,645508;1580;3143,222222;889,8888889;1360,473999;889,8888889;-13,89405069;0,021426603;226;12
Pangan;Kacang Hijau;Kepulauan Riau;2026;0;0;2;0,506440493;0;-358,8416748;-358,8416748;8457,333333;24017,11111;658,4444444;8842,25;658,4444444;4,551276998;0,016675905;282;19
Pangan;Kacang Hijau;Lampung;2026;9,074547152;365;1;0,506440493;382,865454;-279,9416809;-279,9416809;2033,666667;7595,444444;522,1111111;2012,28479;522,1111111;-1,051395343;0,01275555;360;26
Pangan;Kacang Hijau;Maluku;2026;7,028913525;347;1;0,506440493;223,1712855;-352,789917;-352,789917;479;6794,333333;230,7777778;1113,82373;230,7777778;132,5310502;0,005794368;557;33
Pangan;Kacang Hijau;Maluku Utara;2026;10,88;128,6666667;1;0,506440493;121,1166383;32,10050201;32,10050201;109,3333333;607,6666667;311,5555556;-530,4499512;311,5555556;-585,1676383;0,007581616;486;6
Pangan;Kacang Hijau;Nusa Tenggara Barat;2026;12,66742733;8551,333333;1;0,506440493;10646,38513;10484,32129;10484,32129;59;197;245;-877,7391357;245;-1587,69345;0,005968988;551;13
Pangan;Kacang Hijau;Nusa Tenggara Timur;2026;7,042712832;9255,666667;1;0,506440493;6148,964967;12663,47559;12663,47559;24,33333333;243,1111111;138,2222222;-1020,912537;138,2222222;-4295,530972;0,003376362;700;20
Pangan;Kacang Hijau;Papua;2026;4,31942029;34;1;0,506440493;30,51130612;-552,9154663;-552,9154663;0;0;0;-448,2593994;0;0;0,000156684;1302;25
Pangan;Kacang Hijau;Papua Barat;2026;2;2;1;0,506440493;1,633723333;-1541,706909;-1541,706909;4;0;0;-453,554718;0;-11438,86795;0,000156436;1310;28
