subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas;prediksi_produktivitas_2026
Hortikultura;Alpukat;Aceh;2026;390,5611111;1198,5;1;0,315684648;25443,71406;49589,77344;49589,77344;204383,5517;10350,79222;132,5277778;189339,4531;132,5277778;-7,360718815;0,014230486;333;1;390,5611111
Hortikultura;Bawang Merah;Aceh;2026;91,59111111;1422,857778;4;0,351342382;14846,93104;13044,19336;13044,19336;75,79366667;8980,635556;134,4966667;264203,8438;134,4966667;348483,0088;0,013067208;351;2;91,59111111
Hortikultura;Buncis;Aceh;2026;43,17777778;90,83333333;3;0,313313921;562,2530415;487,3743591;487,3743591;141154,84;3093,385556;296,7322222;51765,63672;296,7322222;-63,32705508;0,010481082;409;3;43,17777778
Hortikultura;Cabai Rawit;Aceh;2026;12,91568598;5298,545556;3;0,366125458;73630,02739;69665,25;69665,25;2776,620667;1198,5;390,5611111;49589,77344;390,5611111;1685,97581;0,0098207;422;4;12,91568598
Hortikultura;Durian;Aceh;2026;16,31710304;3958,363333;2;0,297046471;70127,77395;65525,76563;65525,76563;47356,74933;3648,94;236,2644444;126403,7266;236,2644444;166,918081;0,008753379;447;5;16,31710304
Hortikultura;Jeruk Besar;Aceh;2026;23,67709924;338,8974122;4;0,336452575;8362,429816;7646,695313;7646,695313;112382,4263;2902,552222;175,8;60920,76953;175,8;-45,79155165;0,00774555;479;6;23,67709924
Hortikultura;Kentang;Aceh;2026;98,47888889;1115,9;2;0,436074795;23522,91517;11808,42578;11808,42578;107111,4317;1575,443333;130,1444444;51719,55469;130,1444444;-51,7142532;0,006788086;519;7;98,47888889
Hortikultura;Ketimun;Aceh;2026;102,6388889;1530,772222;1;0,290538337;21791,27416;18143,79102;18143,79102;3836,619667;1303,987778;268,9711111;10669,34961;268,9711111;178,0924495;0,006593933;526;8;102,6388889
Hortikultura;Kubis;Aceh;2026;162,6633333;356,8444444;4;0,413477616;8785,359899;5868,398438;5868,398438;1254,721667;92,48444444;256,6133333;5521,402344;256,6133333;340,0499721;0,006265143;540;9;162,6633333
Hortikultura;Mangga;Aceh;2026;13,77166571;2320,666667;1;0,300329066;33475,64698;30079,27539;30079,27539;2711,980333;5958,215556;200,2033333;75373,44531;200,2033333;2679,276988;0,006251385;541;10;13,77166571
Hortikultura;Manggis;Aceh;2026;9,326847253;368,1811111;1;0,280737839;4046,479642;2901,480225;2901,480225;53,51866667;42,98111111;187,81;4147,810059;187,81;7650,211874;0,004594792;613;11;9,326847253
Hortikultura;Nanas;Aceh;2026;785,0682747;25,66913333;4;0,303966619;23261,55286;24857,30273;24857,30273;199,1723333;479,3888889;169,7666667;6696,607422;169,7666667;3262,217688;0,004171739;636;12;785,0682747
Hortikultura;Nangka;Aceh;2026;16,91336786;612,6144444;1;0,306945405;10918,94238;9555,500977;9555,500977;0;1252,58;162,0766667;21903,94727;162,0766667;0;0,004142382;637;13;16,91336786
