subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas;absolute
Hortikultura;Bawang Merah;Aceh;2026;91,59111111;1422,857778;4;0,351342382;14846,93104;13044,19336;13044,19336;75,79366667;8980,635556;134,4966667;264203,8438;134,4966667;348483,0088;0,013067208;351;2;13044,19336
Hortikultura;Bawang Merah;Bali;2026;292,0122222;1195,626667;3;0,351342382;33478,50579;34999,60156;34999,60156;34923,85567;886,91;102,4355556;16073,89258;102,4355556;-53,97446166;0,003203935;717;21;34999,60156
Hortikultura;Bawang Merah;Banten;2026;60,10333333;172,2022222;4;0,351342382;1306,61423;650,3378906;650,3378906;191219,607;17278,45111;108,45;179399,2188;108,45;-6,181577525;0,013627011;344;6;650,3378906
Hortikultura;Bawang Merah;Bengkulu;2026;63,96111111;121,2977778;4;0,351342382;822,1399881;164,2634125;164,2634125;124,7563333;27,98444444;49,66888889;549,1863403;49,66888889;340,2071828;0,001231238;969;25;164,2634125
Hortikultura;Bawang Merah;Daerah Istimewa Yogyakarta;2026;110,0266667;2892,897778;4;0,351342382;29583,26472;31121,49219;31121,49219;268,3033333;24,93333333;119,5377778;578,9656372;119,5377778;115,7877168;0,002925762;744;10;31121,49219
Hortikultura;Bawang Merah;Daerah Khusus Ibukota Jakarta;2026;35,51777778;1,563333333;4;0,351342382;13,0986;313,5062866;313,5062866;390,6803333;134,8033333;32,10888889;630,4985962;32,10888889;61,38477993;0,000812843;1044;29;313,5062866
Hortikultura;Bawang Merah;Gorontalo;2026;62,65111111;40,1;4;0,351342382;285,63945;542,1107788;542,1107788;16760,06867;4163,143333;3,823352372;21690,43945;3,823352372;29,41736627;0,001690643;907;14;542,1107788
Hortikultura;Bawang Merah;Jambi;2026;81,94666667;1872,966667;4;0,351342382;17370,19091;18323,67188;18323,67188;1501,852333;222,43;6,436926881;627,6984863;6,436926881;-58,20504637;0,000274724;1250;33;18323,67188
Hortikultura;Bawang Merah;Jawa Barat;2026;111,7255556;17011,37556;3;0,351342382;196893,1578;180930,0313;180930,0313;26120,77;1960,41;12,92881077;28001,68359;12,92881077;7,200835174;0,002054043;851;18;180930,0313
Hortikultura;Bawang Merah;Jawa Tengah;2026;108,7555556;49970,72;2;0,351342382;530366,0954;533438,1875;533438,1875;33648,18467;1581,177491;21,42507119;35122,32422;21,42507119;4,381037392;0,002567413;789;3;533438,1875
Hortikultura;Bawang Merah;Jawa Timur;2026;91,98888889;52266,14778;2;0,351342382;503803,258;493780,8438;493780,8438;212,749;12,41617;13,11698922;-306,534668;13,11698922;-244,0827773;0,000360231;1191;22;493780,8438
Hortikultura;Bawang Merah;Kalimantan Barat;2026;22,49666667;25,34333333;4;0,351342382;131,7912833;313,5062866;313,5062866;69200,86667;4387,411111;139,4788889;126482,1094;139,4788889;82,77532561;0,007863552;475;7;313,5062866
Hortikultura;Bawang Merah;Kalimantan Selatan;2026;55,43888889;82,77111111;4;0,351342382;433,5732133;551,6675415;551,6675415;0;0;0;46,97108459;0;0;0,000179914;1290;21;551,6675415
Hortikultura;Bawang Merah;Kalimantan Tengah;2026;34,30111111;18,95111111;4;0,351342382;71,24542105;253,7373505;253,7373505;5329,587333;450,7622222;123,3433333;4939,336914;123,3433333;-7,322338389;0,003052824;732;11;253,7373505
Hortikultura;Bawang Merah;Kalimantan Timur;2026;51,44111111;53,95444444;4;0,351342382;296,8192867;551,6675415;551,6675415;2343,649667;436,7177778;50,85;2110,017822;50,85;-9,968718778;0,001282185;957;30;551,6675415
Hortikultura;Bawang Merah;Kalimantan Utara;2026;144,7544444;5,177777778;3;0,351342382;172,2589;976,2189941;976,2189941;6233,449;473,5222222;126,3233333;5705,770508;126,3233333;-8,465273273;0,003133848;726;15;976,2189941
Hortikultura;Bawang Merah;Kepulauan Bangka Belitung;2026;49,66888889;27,98444444;4;0,351342382;186,7769414;549,1863403;549,1863403;0;0;0;672,9697876;0;0;0,000209287;1281;31;549,1863403
Hortikultura;Bawang Merah;Kepulauan Riau;2026;73,72;7,13;4;0,351342382;93,31063222;164,2634125;164,2634125;13911,41133;1299,716667;10,38287188;13830,73047;10,38287188;-0,57996175;0,001144441;992;19;164,2634125
Hortikultura;Bawang Merah;Lampung;2026;73,42111111;258,8733333;4;0,351342382;2080,252987;713,0581055;713,0581055;33594,45467;2466,886667;16,57703895;37468,51953;16,57703895;11,53185817;0,002651977;775;4;713,0581055
