subsektor;komoditas;provinsi;tahun;kluster;silhouette_score_komoditas;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas;produktivitas;luas_panen;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;pertumbuhan_produksi_2026;prediksi_produktivitas_2026
Hortikultura;Alpukat;Aceh;2026;2;0,592859359;2776,620667;1198,5;390,5611111;13518,39551;390,5611111;386,8650468;0,010585427;472;4;390,5611111;1198,5;43872,04203;13518,39551;13518,39551;386,8650468;390,5611111
Hortikultura;Alpukat;Bali;2026;3;0,592859359;10298,11267;620,3933333;106,1133333;2997,167236;106,1133333;-70,89595605;0,003399938;887;25;106,1133333;620,3933333;7939,065107;2997,167236;2997,167236;-70,89595605;106,1133333
Hortikultura;Alpukat;Banten;2026;3;0,592859359;12823,886;570,8166667;104,1455556;-770,0747681;104,1455556;-106,0050032;0,0033488;893;26;104,1455556;570,8166667;10184,22701;-770,0747681;770,0747681;-106,0050032;104,1455556
Hortikultura;Alpukat;Bengkulu;2026;3;0,592859359;499,2013333;497,3344444;122,1366667;10451,90723;122,1366667;1993,725823;0,003784957;839;22;122,1366667;497,3344444;8926,137379;10451,90723;10451,90723;1993,725823;122,1366667
Hortikultura;Alpukat;Daerah Istimewa Yogyakarta;2026;3;0,592859359;89,76666667;752,6355556;145,4244444;11972,74512;145,4244444;13237,62917;0,004347011;777;17;145,4244444;752,6355556;9978,84376;11972,74512;11972,74512;13237,62917;145,4244444
Hortikultura;Alpukat;Daerah Khusus Ibukota Jakarta;2026;3;0,592859359;15879,58233;210,2377778;163,2766667;554,6138306;163,2766667;-96,50737772;0,004777794;738;15;163,2766667;210,2377778;9225,317235;554,6138306;554,6138306;-96,50737772;163,2766667
Hortikultura;Alpukat;Gorontalo;2026;2;0,592859359;112382,4263;2902,552222;175,8;-10009,12891;175,8;-108,9063115;0,007882179;552;5;175,8;2902,552222;61094,58989;-10009,12891;10009,12891;-108,9063115;175,8
Hortikultura;Alpukat;Jambi;2026;2;0,592859359;141154,84;3093,385556;296,7322222;-4705,580566;296,7322222;-103,3336303;0,011154197;464;3;296,7322222;3093,385556;60659,70865;-4705,580566;4705,580566;-103,3336303;296,7322222
Hortikultura;Alpukat;Jawa Barat;2026;2;0,592859359;204383,5517;10350,79222;132,5277778;51678,64063;132,5277778;-74,71487299;0,012159199;446;2;132,5277778;10350,79222;127140,9292;51678,64063;51678,64063;-74,71487299;132,5277778
Hortikultura;Alpukat;Jawa Tengah;2026;1;0,592859359;303689,8;5958,215556;200,2033333;18571,85547;200,2033333;-93,88459689;0,017435163;345;1;0;0;534588,2482;511235,9063;511235,9063;183797,808;0
