subsektor;komoditas;provinsi;tahun;kluster;silhouette_score_komoditas;c1_produksi_aktual_terakhir;c2_luas_panen;c3_prediksi_produksi;c4_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas;luas_panen;prediksi_produksi_2026;pertumbuhan_produksi_2026;
Hortikultura;Alpukat;Aceh;2026;2;0,68173952;2776,620667;1198,5;28876,03516;939,9704757;0,001987889;515;10;5958,215556;81312,02344;2898,252695;
Hortikultura;Alpukat;Bali;2026;3;0,68173952;10298,11267;620,3933333;6452,512207;-37,34276934;0,001502824;675;18;53,89111111;632,0782471;-33,81929385;
Hortikultura;Alpukat;Banten;2026;3;0,68173952;12823,886;570,8166667;8163,973145;-36,33775952;0,00157949;636;16;10,69222222;632,0782471;142,2402329;
Hortikultura;Alpukat;Bengkulu;2026;3;0,68173952;499,2013333;497,3344444;3331,087646;567,2834033;0,001359333;876;25;61,11888889;632,0782471;13,18351553;
Hortikultura;Alpukat;Daerah Istimewa Yogyakarta;2026;3;0,68173952;89,76666667;752,6355556;4258,769531;4644,266095;0,001376395;830;23;1303,987778;6385,465332;66,43467132;
Hortikultura;Alpukat;Daerah Khusus Ibukota Jakarta;2026;3;0,68173952;15879,58233;210,2377778;6940,169922;-56,29500968;0,001633093;617;15;166,1922222;745,1439209;-53,46026831;
Hortikultura;Alpukat;Gorontalo;2026;2;0,68173952;112382,4263;2902,552222;71365,73438;-36,49742517;0,006922552;270;3;570,8166667;8163,973145;-36,33775952;
Hortikultura;Alpukat;Jambi;2026;2;0,68173952;141154,84;3093,385556;77354,53125;-45,19881058;0,008354256;238;2;620,3933333;6452,512207;-37,34276934;
Hortikultura;Alpukat;Jawa Barat;2026;2;0,68173952;204383,5517;10350,79222;182561,9531;-10,67678801;0,013729272;191;1;1198,5;28876,03516;939,9704757;
Hortikultura;Alpukat;Jawa Tengah;2026;1;0,68173952;2711,980333;5958,215556;81312,02344;2898,252695;0,004183866;337;7;2902,552222;71365,73438;-36,49742517;
Hortikultura;Alpukat;Jawa Timur;2026;2;0,68173952;75,79366667;8980,635556;134566,75;177443,5283;0,006531847;280;5;752,6355556;4258,769531;4644,266095;
Hortikultura;Alpukat;Kalimantan Barat;2026;3;0,68173952;1254,721667;92,48444444;1167,90979;-6,918815458;0,001335719;1038;27;276,1466667;2888,833252;-54,71341686;
Hortikultura;Alpukat;Kalimantan Selatan;2026;2;0,68173952;942,2656667;58,47777778;632,0782471;-32,91931677;0,001330729;1112;31;1167,98;22270,99023;-44,83223594;
Hortikultura;Alpukat;Kalimantan Tengah;2026;3;0,68173952;53,51866667;42,98111111;632,0782471;1081,04259;0,001330123;1129;33;1382,453333;20100,61328;0;
Hortikultura;Alpukat;Kalimantan Timur;2026;2;0,68173952;1601,092;166,1922222;745,1439209;-53,46026831;0,001333742;1065;28;516,0888889;2069,38623;142,8748754;
Hortikultura;Alpukat;Kalimantan Utara;2026;1;0,68173952;260,9303333;10,69222222;632,0782471;142,2402329;0,00132985;1145;34;1252,58;21987,31445;0;
Hortikultura;Alpukat;Kepulauan Bangka Belitung;2026;3;0,68173952;34923,85567;886,91;13295,96387;-61,92870571;0,002392417;457;9;10350,79222;182561,9531;-10,67678801;
Hortikultura;Alpukat;Kepulauan Riau;2026;3;0,68173952;955,0793333;53,89111111;632,0782471;-33,81929385;0,001330745;1111;30;1575,443333;66217,14063;-38,1792031;
Hortikultura;Alpukat;Lampung;2026;3;0,68173952;758,3246667;1654,256667;23408,50977;2986,871731;0,001828808;549;11;8980,635556;134566,75;177443,5283;
Hortikultura;Alpukat;Maluku;2026;3;0,68173952;11775,789;288,1188889;6745,958008;-42,71332471;0,001532153;655;17;886,91;13295,96387;-61,92870571;
Hortikultura;Alpukat;Maluku Utara;2026;3;0,68173952;17396,35467;731,6377778;8831,263672;-49,23497571;0,001708328;591;14;42,98111111;632,0782471;1081,04259;
Hortikultura;Alpukat;Nusa Tenggara Barat;2026;3;0,68173952;199,1723333;479,3888889;3804,453857;1810,13169;0,001364627;853;24;56,10444444;632,0782471;-62,75829569;
Hortikultura;Alpukat;Nusa Tenggara Timur;2026;2;0,68173952;3836,619667;1303,987778;6385,465332;66,43467132;0,001435902;726;19;1654,256667;23408,50977;2986,871731;
