subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas
Hortikultura;Alpukat;Jawa Barat;2026;132,5277778;10350,79222;2;0,315684648;205566,4496;189339,4531;189339,4531;29606,81;2026,016667;16,26522328;29802,96875;16,26522328;0,662546049;0,002245339;827;17
Hortikultura;Bawang Merah;Jawa Barat;2026;111,7255556;17011,37556;3;0,351342382;196893,1578;180930,0313;180930,0313;26120,77;1960,41;12,92881077;28001,68359;12,92881077;7,200835174;0,002054043;851;18
Hortikultura;Buncis;Jawa Barat;2026;169,8977778;4558,45;2;0,313313921;79094,35048;83617,48438;83617,48438;22444,09;1804,66;13,88923042;29165,66992;13,88923042;29,94810626;0,001980514;864;19
Hortikultura;Cabai Rawit;Jawa Barat;2026;12,97466174;12548,37667;3;0,366125458;167984,6649;180073,625;180073,625;22282,01;1542,886667;13,14532703;24326,80859;13,14532703;9,176903671;0,001790328;895;20
Hortikultura;Durian;Jawa Barat;2026;11,14083313;12132,06;4;0,297046471;131274,3307;140432,5313;140432,5313;17941,71;1323,083333;12,05600769;15070,46191;12,05600769;-16,00320196;0,001327032;951;21
Hortikultura;Jeruk Besar;Jawa Barat;2026;20,65922316;357,63954;4;0,336452575;7336,555525;7080,22168;7080,22168;8960,61;232,7033333;39,88822692;7946,166016;39,88822692;-11,32114872;0,001208851;976;22
Hortikultura;Kentang;Jawa Barat;2026;220,5288889;10996,32222;4;0,436074795;307129,8341;237399,1719;237399,1719;13154,27;1499,493333;9,54188135;14661,35645;9,54188135;11,45701316;0,001155996;987;23
Hortikultura;Ketimun;Jawa Barat;2026;174,0433333;7082,188889;2;0,290538337;138362,9256;141769,4844;141769,4844;10873,32;1987,243333;5,780880232;9671,855469;5,780880232;-11,04965669;0,000938357;1028;24
Hortikultura;Kubis;Jawa Barat;2026;217,6933333;10484,60444;1;0,413477616;230766,4539;240764,875;240764,875;8491,91;1253;7,75651845;8676,236328;7,75651845;2,170610948;0,000790968;1047;25
Hortikultura;Mangga;Jawa Barat;2026;12,70000902;35685,28667;3;0,300329066;451885,2994;470556,8125;470556,8125;6027,8;427,4166667;16,96960806;5860,513672;16,96960806;-2,775246825;0,000690861;1069;26
