provinsi;subsektor;kluster
Aceh;holtikultura;1
Bali;holtikultura;1
Banten;holtikultura;1
Bengkulu;holtikultura;1
Daerah Istimewa Yogyakarta;holtikultura;1
Daerah Khusus Ibukota Jakarta;holtikultura;1
Gorontalo;holtikultura;1
Jambi;holtikultura;4
Jawa Barat;holtikultura;3
Jawa Tengah;holtikultura;2
Jawa Timur;holtikultura;2
Kalimantan Barat;holtikultura;1
Kalimantan Selatan;holtikultura;1
Kalimantan Tengah;holtikultura;1
Kalimantan Timur;holtikultura;1
Kalimantan Utara;holtikultura;1
Kepulauan Bangka Belitung;holtikultura;1
Kepulauan Riau;holtikultura;1
Lampung;holtikultura;1
Maluku;holtikultura;1
Maluku Utara;holtikultura;1
Nusa Tenggara Barat;holtikultura;3
Nusa Tenggara Timur;holtikultura;1
Papua;holtikultura;1
Papua Barat;holtikultura;1
Riau;holtikultura;1
Sulawesi Barat;holtikultura;1
Sulawesi Selatan;holtikultura;1
Sulawesi Tengah;holtikultura;1
Sulawesi Tenggara;holtikultura;1
Sulawesi Utara;holtikultura;4
Sumatera Barat;holtikultura;1
Sumatera Selatan;holtikultura;1
Sumatera Utara;holtikultura;1
Aceh;pangan;1
Bali;pangan;1
Banten;pangan;1
Bengkulu;pangan;1
Daerah Istimewa Yogyakarta;pangan;1
Daerah Khusus Ibukota Jakarta;pangan;3
Gorontalo;pangan;4
Jambi;pangan;1
Jawa Barat;pangan;1
Jawa Tengah;pangan;2
Jawa Timur;pangan;1
Kalimantan Barat;pangan;1
Kalimantan Selatan;pangan;1
Kalimantan Tengah;pangan;1
Kalimantan Timur;pangan;1
Kalimantan Utara;pangan;4
Kepulauan Bangka Belitung;pangan;1
Kepulauan Riau;pangan;2
Lampung;pangan;3
Maluku;pangan;1
Maluku Utara;pangan;1
Nusa Tenggara Barat;pangan;3
Nusa Tenggara Timur;pangan;1
Papua;pangan;3
Papua Barat;pangan;1
Riau;pangan;1
Sulawesi Barat;pangan;1
Sulawesi Selatan;pangan;3
Sulawesi Tengah;pangan;1
Sulawesi Tenggara;pangan;1
Sulawesi Utara;pangan;1
Sumatera Barat;pangan;1
Sumatera Selatan;pangan;1
Sumatera Utara;pangan;3
Aceh;perkebunan;1
Bali;perkebunan;1
Banten;perkebunan;1
Bengkulu;perkebunan;1
Daerah Istimewa Yogyakarta;perkebunan;1
Daerah Khusus Ibukota Jakarta;perkebunan;3
Gorontalo;perkebunan;3
Jambi;perkebunan;1
Jawa Barat;perkebunan;3
Jawa Tengah;perkebunan;3
Jawa Timur;perkebunan;2
Kalimantan Barat;perkebunan;1
Kalimantan Selatan;perkebunan;1
Kalimantan Tengah;perkebunan;1
Kalimantan Timur;perkebunan;1
Kalimantan Utara;perkebunan;1
Kepulauan Bangka Belitung;perkebunan;3
Kepulauan Riau;perkebunan;1
Lampung;perkebunan;1
Maluku;perkebunan;3
Maluku Utara;perkebunan;1
Nusa Tenggara Barat;perkebunan;3
Nusa Tenggara Timur;perkebunan;1
Papua;perkebunan;1
Papua Barat;perkebunan;3
Riau;perkebunan;3
Sulawesi Barat;perkebunan;1
Sulawesi Selatan;perkebunan;3
Sulawesi Tengah;perkebunan;2
Sulawesi Tenggara;perkebunan;1
Sulawesi Utara;perkebunan;3
Sumatera Barat;perkebunan;1
Sumatera Selatan;perkebunan;1
Sumatera Utara;perkebunan;1
